weight_lb,shipment_type,zone_A,zone_B,zone_C,zone_D,zone_E,zone_F,zone_G,zone_H,zone_I,zone_J,zone_K,zone_L,zone_M,zone_N
137.0,nondoc_or_doc_5lb_plus,1122.42,1265.2,2313.49,2612.28,4645.27,2272.33,2846.88,2254.48,3249.1,4713.97,2166.73,4053.4,3272.96,4947.24
138.0,nondoc_or_doc_5lb_plus,1130.58,1273.87,2329.82,2631.82,4679.58,2287.58,2868.08,2271.29,3273.17,4746.25,2183.06,4081.98,3297.89,4982.18
139.0,nondoc_or_doc_5lb_plus,1138.74,1282.54,2346.15,2651.36,4713.89,2302.83,2889.28,2288.1,3297.24,4778.53,2199.39,4110.56,3322.82,5017.12
140.0,nondoc_or_doc_5lb_plus,1146.9,1291.21,2362.48,2670.9,4748.2,2318.08,2910.48,2304.91,3321.31,4810.81,2215.72,4139.14,3347.75,5052.06
141.0,nondoc_or_doc_5lb_plus,1155.06,1299.88,2378.81,2690.44,4782.51,2333.33,2931.68,2321.72,3345.38,4843.09,2232.05,4167.72,3372.68,5087.0
142.0,nondoc_or_doc_5lb_plus,1163.22,1308.55,2395.14,2709.98,4816.82,2348.58,2952.88,2338.53,3369.45,4875.37,2248.38,4196.3,3397.61,5121.94
143.0,nondoc_or_doc_5lb_plus,1171.38,1317.22,2411.47,2729.52,4851.13,2363.83,2974.08,2355.34,3393.52,4907.65,2264.71,4224.88,3422.54,5156.88
144.0,nondoc_or_doc_5lb_plus,1179.54,1325.89,2427.8,2749.06,4885.44,2379.08,2995.28,2372.15,3417.59,4939.93,2281.04,4253.46,3447.47,5191.82
145.0,nondoc_or_doc_5lb_plus,1187.7,1334.56,2444.13,2768.6,4919.75,2394.33,3016.48,2388.96,3441.66,4972.21,2297.37,4282.04,3472.4,5226.76
146.0,nondoc_or_doc_5lb_plus,1195.86,1343.23,2460.46,2788.14,4954.06,2409.58,3037.68,2405.77,3465.73,5004.49,2313.7,4310.62,3497.33,5261.7
147.0,nondoc_or_doc_5lb_plus,1204.02,1351.9,2476.79,2807.68,4988.37,2424.83,3058.88,2422.58,3489.8,5036.77,2330.03,4339.2,3522.26,5296.64
148.0,nondoc_or_doc_5lb_plus,1212.18,1360.57,2493.12,2827.22,5022.68,2440.08,3080.08,2439.39,3513.87,5069.05,2346.36,4367.78,3547.19,5331.58
149.0,nondoc_or_doc_5lb_plus,1220.34,1369.24,2509.45,2846.76,5056.99,2455.33,3101.28,2456.2,3537.94,5101.33,2362.69,4396.36,3572.12,5366.52
150.0,nondoc_or_doc_5lb_plus,1228.5,1377.91,2525.78,2866.3,5091.3,2470.58,3122.48,2473.01,3562.01,5133.61,2379.02,4424.94,3597.05,5401.46
150.1-330,multiplier_per_lb_150.1_to_330_lb,8.5,11.28,17.45,20.01,36.2,17.06,21.41,17.53,24.86,36.08,16.6,30.07,25.39,38.48
